CODE,STATE,COUNTY,FIPS,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24380,MINNESOTA,LAKE OF THE WOODS,27077,497.00,1963635.00,329.25,1908400.00,319.99,16964.00,29691.00,8578.00,415.00,2338096.00,469.50,,24380,MINNESOTA,LAKE OF THE WOODS,2516419.00,2441661.00,21121.00,53636.00,0.00,2326042.00
24390,MINNESOTA,LE SUEUR,27079,2462.00,11491944.00,388.98,10688742.00,361.79,434876.00,137899.00,230425.00,2061.00,10780279.00,435.88,,24390,MINNESOTA,LE SUEUR,12514260.00,11913237.00,440277.00,160746.00,0.00,8011757.00
24400,MINNESOTA,LINCOLN,27081,823.00,3712692.00,375.93,3629303.00,367.49,32649.00,35604.00,15135.00,749.00,4632423.00,515.40,,24400,MINNESOTA,LINCOLN,1655225.00,1623541.00,15671.00,16013.00,0.00,2301018.00
24410,MINNESOTA,LYON,27083,3119.00,12013592.00,320.98,11612646.00,310.27,194079.00,123381.00,83482.00,2851.00,15202519.00,444.36,,24410,MINNESOTA,LYON,6288827.00,6094918.00,124317.00,69593.00,0.00,6160245.00
24420,MINNESOTA,MCLEOD,27085,3468.00,14154669.00,340.13,13362820.00,321.10,360084.00,218877.00,212886.00,2867.00,15056608.00,437.64,,24420,MINNESOTA,MCLEOD,18900221.00,18212964.00,392384.00,294873.00,0.00,12686573.00
24430,MINNESOTA,MAHNOMEN,27087,687.00,2933710.00,355.86,2795598.00,339.11,70089.00,55952.00,12068.00,557.00,2973018.00,444.80,,24430,MINNESOTA,MAHNOMEN,1412041.00,1377032.00,14702.00,20306.00,0.00,1370234.00
24440,MINNESOTA,MARSHALL,27089,894.00,4422018.00,412.19,4244206.00,395.62,88816.00,45647.00,43346.00,753.00,5350948.00,592.18,,24440,MINNESOTA,MARSHALL,3995725.00,3882754.00,67219.00,45752.00,0.00,4632741.00
24450,MINNESOTA,MARTIN,27091,2509.00,10867000.00,360.93,10109346.00,335.77,438992.00,101248.00,217412.00,2252.00,11891594.00,440.04,,24450,MINNESOTA,MARTIN,8416459.00,7982756.00,355642.00,78062.00,0.00,6943151.00
24460,MINNESOTA,MEEKER,27093,1610.00,7157967.00,370.50,6839550.00,354.01,144070.00,107991.00,66352.00,1338.00,6681385.00,416.13,,24460,MINNESOTA,MEEKER,10691575.00,10382791.00,159018.00,149766.00,0.00,7300382.00
24470,MINNESOTA,MILLE LACS,27095,2854.00,11072692.00,323.31,10518513.00,307.13,247678.00,184484.00,122015.00,2363.00,10755946.00,379.32,,24470,MINNESOTA,MILLE LACS,11513547.00,10999157.00,310496.00,203894.00,0.00,8180255.00
