CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,,CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B TOTAL REIMBURSEMENT
24390,MINNESOTA,LE SUEUR,"2,462","11,491,944",388.98,"10,688,742",361.79,"434,876","137,899","230,425","2,061","10,780,279",435.88,,24390,MINNESOTA,LE SUEUR,"12,514,260","11,913,237","440,277","160,746",0,"8,011,757"
24400,MINNESOTA,LINCOLN,823,"3,712,692",375.93,"3,629,303",367.49,"32,649","35,604","15,135",749,"4,632,423",515.40,,24400,MINNESOTA,LINCOLN,"1,655,225","1,623,541","15,671","16,013",0,"2,301,018"
24410,MINNESOTA,LYON,"3,119","12,013,592",320.98,"11,612,646",310.27,"194,079","123,381","83,482","2,851","15,202,519",444.36,,24410,MINNESOTA,LYON,"6,288,827","6,094,918","124,317","69,593",0,"6,160,245"
24420,MINNESOTA,MCLEOD,"3,468","14,154,669",340.13,"13,362,820",321.10,"360,084","218,877","212,886","2,867","15,056,608",437.64,,24420,MINNESOTA,MCLEOD,"18,900,221","18,212,964","392,384","294,873",0,"12,686,573"
24430,MINNESOTA,MAHNOMEN,687,"2,933,710",355.86,"2,795,598",339.11,"70,089","55,952","12,068",557,"2,973,018",444.80,,24430,MINNESOTA,MAHNOMEN,"1,412,041","1,377,032","14,702","20,306",0,"1,370,234"
24440,MINNESOTA,MARSHALL,894,"4,422,018",412.19,"4,244,206",395.62,"88,816","45,647","43,346",753,"5,350,948",592.18,,24440,MINNESOTA,MARSHALL,"3,995,725","3,882,754","67,219","45,752",0,"4,632,741"
24450,MINNESOTA,MARTIN,"2,509","10,867,000",360.93,"10,109,346",335.77,"438,992","101,248","217,412","2,252","11,891,594",440.04,,24450,MINNESOTA,MARTIN,"8,416,459","7,982,756","355,642","78,062",0,"6,943,151"
24460,MINNESOTA,MEEKER,"1,610","7,157,967",370.50,"6,839,550",354.01,"144,070","107,991","66,352","1,338","6,681,385",416.13,,24460,MINNESOTA,MEEKER,"10,691,575","10,382,791","159,018","149,766",0,"7,300,382"
24470,MINNESOTA,MILLE LACS,"2,854","11,072,692",323.31,"10,518,513",307.13,"247,678","184,484","122,015","2,363","10,755,946",379.32,,24470,MINNESOTA,MILLE LACS,"11,513,547","10,999,157","310,496","203,894",0,"8,180,255"
24480,MINNESOTA,MORRISON,"2,836","11,614,440",341.28,"11,179,712",328.51,"192,117","160,907","81,699","2,382","10,886,730",380.87,,24480,MINNESOTA,MORRISON,"14,107,484","13,691,676","223,456","192,352",0,"11,086,479"
24490,MINNESOTA,MOWER,"4,298","24,646,289",477.86,"21,975,019",426.07,"1,671,852","252,322","747,092","3,893","18,327,839",392.32,,24490,MINNESOTA,MOWER,"13,502,828","12,343,515","1,020,070","139,243",0,"9,112,607"
24500,MINNESOTA,MURRAY,"1,176","4,936,096",349.78,"4,743,147",336.11,"89,896","68,956","34,094","1,069","6,886,168",536.81,,24500,MINNESOTA,MURRAY,"2,753,303","2,666,613","50,493","36,198",0,"3,424,025"
24510,MINNESOTA,NICOLLET,"2,341","9,473,945",337.25,"8,752,596",311.57,"373,347","128,415","219,584","1,924","9,077,008",393.15,,24510,MINNESOTA,NICOLLET,"9,457,036","8,930,417","409,226","117,393",0,"5,716,043"
24520,MINNESOTA,NOBLES,"2,282","8,032,130",293.31,"7,630,467",278.65,"184,705","159,654","57,301","2,065","10,265,529",414.27,,24520,MINNESOTA,NOBLES,"2,855,960","2,737,430","64,140","54,389",0,"3,957,312"
24530,MINNESOTA,NORMAN,763,"2,216,974",242.13,"2,109,390",230.38,"49,694","39,544","18,343",674,"3,673,539",454.20,,24530,MINNESOTA,NORMAN,"2,097,631","2,012,764","51,754","33,113",0,"2,695,023"
24540,MINNESOTA,OLMSTED,"14,963","71,143,322",396.22,"59,041,876",328.82,"8,001,114","501,142","3,599,188","12,963","52,337,086",336.45,,24540,MINNESOTA,OLMSTED,"31,487,359","27,923,626","3,342,336","221,397",0,"17,606,999"
24550,MINNESOTA,OTTER TAIL,"5,743","19,357,537",280.89,"18,514,589",268.65,"395,417","296,597","150,930","4,993","25,140,746",419.60,,24550,MINNESOTA,OTTER TAIL,"23,489,698","22,662,333","451,588","375,777",0,"23,739,403"
24560,MINNESOTA,PENNINGTON,"1,144","4,039,582",294.26,"3,858,583",281.07,"92,632","45,870","42,492",861,"4,605,420",445.74,,24560,MINNESOTA,PENNINGTON,"3,808,029","3,689,124","80,566","38,339",0,"5,635,785"
24570,MINNESOTA,PINE,"2,806","11,774,328",349.68,"11,153,658",331.24,"298,992","202,120","119,554","2,399","11,681,016",405.76,,24570,MINNESOTA,PINE,"10,477,617","10,080,538","219,926","177,152",0,"9,114,898"
24580,MINNESOTA,PIPESTONE,"1,287","5,566,766",360.45,"5,397,246",349.47,"77,433","61,568","30,516","1,171","7,229,821",514.50,,24580,MINNESOTA,PIPESTONE,"1,899,986","1,866,731","17,324","15,931",0,"2,834,260"
24590,MINNESOTA,POLK,"2,920","11,654,221",332.60,"11,049,424",315.34,"327,542","133,735","143,516","2,536","15,534,142",510.45,,24590,MINNESOTA,POLK,"9,918,805","9,564,002","229,502","125,301",0,"10,740,646"
24600,MINNESOTA,POPE,"1,129","4,986,897",368.09,"4,831,683",356.63,"67,144","56,512","31,555","1,008","5,636,096",465.95,,24600,MINNESOTA,POPE,"5,617,169","5,490,526","70,903","55,741",0,"5,179,396"
24610,MINNESOTA,RAMSEY,"49,962","200,001,366",333.59,"179,433,173",299.28,"10,177,192","5,352,321","5,038,677","39,007","187,267,480",400.07,,24610,MINNESOTA,RAMSEY,"170,853,178","158,348,623","8,075,028","4,429,527",0,"96,516,154"
24620,MINNESOTA,RED LAKE,240,"553,842",192.31,"522,644",181.47,"12,388","6,150","12,657",181,"885,913",407.88,,24620,MINNESOTA,RED LAKE,"2,180,203","2,124,061","34,250","21,892",0,"1,933,855"
24630,MINNESOTA,REDWOOD,"1,529","7,583,709",413.33,"7,246,808",394.96,"176,946","77,751","82,202","1,364","7,658,147",467.87,,24630,MINNESOTA,REDWOOD,"6,544,720","6,327,703","149,777","67,240",0,"5,010,712"
24640,MINNESOTA,RENVILLE,"1,682","8,009,830",396.84,"7,745,249",383.73,"123,767","88,700","52,110","1,523","8,705,379",476.33,,24640,MINNESOTA,RENVILLE,"6,018,814","5,848,888","96,057","73,870",0,"4,633,338"
